Accession Number	Subject	Title	Author	Scribe	Date of the work	Date of the Ms.	Place of the work	Place of the Ms.	Size	Extent	Language	Script	Remarks	Observations
SDPB0444	Dharmashastra	महालयश्राद्ध							6"x4.2"	31	Sanskrit	Devanagari		
SDPB0445	Dharmashastra	श्राद्धविषये धर्मविधान							6"x4.2"	3	Sanskrit	Devanagari		
SDPB0446	Tantra Ritual	कार्तवीर्यार्जुनकवच		केशवजी भट		V.S. 1779		सूर्यपुर	6.8"x4"	21	Sanskrit	Devanagari		
SDPB0447	Grammar	पाणिनि व्याकरण	पाणिनि						6.8"x3.8"	36	Sanskrit	Devanagari		
SDPB0448	Vedic Literature	कैवल्योपनिषद् दीपिका	शङ्कराचार्य भगवत्पाद						6.8"x3.8"	28	Sanskrit	Devanagari		
SDPB0449	Vedic Literature	कैवल्योपनिषद्		माधवानन्द		V.S. 1868		अश्वनीकुमार	6.6"x3.8"	4	Sanskrit	Devanagari		
SDPB0450	Vedanta	वैतथ्यभाष्य							6.6"x4.4"	18	Sanskrit	Devanagari	Incomplete. Folios 1-12 missing. Begins abruptly.	
SDPB0451	Vedanta	वैतथ्यभाष्य							6.4"x4.2"	99	Sanskrit	Devanagari	Incomplete. Folios 111-209 only. Rest missing.	
SDPB0452	Vedanta	वैतथ्यभाष्य							6.4"x4.2"	41	Sanskrit	Devanagari	Incomplete. Folios are 209-231 only. See manuscript 451.	
SDPB0453	Architecture	कुण्डप्रदीप				V.S. 1762			7.5"x4.5"	27	Sanskrit	Devanagari	Incomplete. First folio is missing.	
SDPB0454	Vedic Ritual	होमपद्धति							8.4"x4.8:	5	Sanskrit	Devanagari		
SDPB0455	Stotra	श्रीकार्तवीर्यार्जुनस्तवराज							6.9"x4.6"	13	Sanskrit	Devanagari		
SDPB0456	Purana	कार्तवीर्यार्जुनकथा							7.7"x4.4"	4	Sanskrit	Devanagari		
SDPB0457	Grammar	काशिकावृत्ति	वामन						9.2"x4.2"	13	Sanskrit	Devanagari	Incomplete. Folios 640-652 only. Rest missing.	
SDPB0458	Grammar	काशिकावृत्ति ७.१	वामन, जयादित्य			V.S. 1744			9.3"x4.3"	14	Sanskrit	Devanagari	Incomplete. Folios 7-20 only. Begins abruptly.	
SDPB0459	Grammar	काशिकावृत्ति	वामन, जयादित्य						9.1"x4.2"	4	Sanskrit	Devanagari	Incomplete. Folios 96-99 only.	
SDPB0460	Vedanta	a. तत्त्वबोध, b. विज्ञाननौका	शङ्कराचार्य			b. V.S. 1787			9.6"x4.5"	3	Sanskrit	Devanagari		
SDPB0461	Dharmashastra	कर्मप्रदीप				V.S. 1797			8.1"x3.6"	45	Sanskrit	Devanagari		
SDPB0462	Grammar	काशिकावृत्ति	वामनाचार्य			V.S. 1944			9.2"x4.2"	10	Sanskrit	Devanagari	Incomplete. Folios 82-93 only.	
SDPB0463	Kamashastra	कामसूत्र	वात्स्यायन			fairly old			10.6"x4"	55	Sanskrit	Devanagari		
SDPB0464	Vedic Literature	छान्दोग्यमन्त्रभाष्य	गुणविष्णु भट्ट	कृष्ण त्रिपाठी		V.S. 1480			10.6"x4"	42	Sanskrit	Devanagari		
SDPB0465	Dharmashastra	कर्मविपाक				V.S. 1617			8.8"x4.2"	258	Sanskrit	Devanagari		
SDPB0466	Dharmashastra	आचारदीप आचारमातृकाविधि	नामदेव भट्ट						11.4"x3.4"	48	Sanskrit	Devanagari	Folios 1 and 2 are missing. Begins abruptly.	
SDPB0467	Grammar	तत्त्वबोधिनी		दिनमणिशङ्कर					10.8"x4.6"	20	Sanskrit	Devanagari	Incomplete.	
SDPB0468	Grammar	तत्त्वबोधिनी	ज्ञानेन्द्रसरस्वती						9.4"x5.4"	122	Sanskrit	Devanagari	Incomplete. Folios 364-475 only. Begins abruptly.	In slips, author is wrongly shown as भट्टोजी दीक्षित.
SDPB0469	Grammar	सुबोधिनी टीका		जयकृष्ण					a. 9.8"x5.6", b. 10.3"x4.6"	88	Sanskrit	Devanagari		
SDPB0470	Grammar	तत्त्वबोधिनी	ज्ञानेन्द्रसरस्वती								Sanskrit	Devanagari		
SDPB0471	Grammar	तत्त्वबोधिनी							10.2"x4.7"	17	Sanskrit	Devanagari		
SDPB0472	Grammar	तत्त्वबोधिनी							9.4"x5.2"	8	Sanskrit	Devanagari		
SDPB0473	Dharmashastra	सन्न्यासविधि		रायभट्ट					7.6"x4.6"	23	Sanskrit	Devanagari		
SDPB0474	Grammar	a. आख्यातवाद, b. कारकार्थप्रदीपिका		a. कृष्णभट्ट, b. नीलकण्ठ					10.5"x4"	20	Sanskrit	Devanagari		
SDPB0475	Dharmashastra	सर्वप्रायश्चित्तप्रयोग	अनन्तदेव			V.S. 1805			7.7"x4.4"	20	Sanskrit	Devanagari		
